iter	Passed	Remaining
0	30	3029
1	53	2612
2	78	2551
3	96	2322
4	209	3976
5	243	3816
6	268	3565
7	289	3331
8	313	3171
9	333	3001
10	349	2830
11	369	2706
12	385	2578
13	403	2476
14	426	2415
15	448	2355
16	473	2311
17	492	2245
18	514	2194
19	537	2149
20	565	2127
21	590	2094
22	612	2051
23	630	1996
24	653	1960
25	676	1926
26	693	1875
27	710	1826
28	729	1786
29	755	1763
30	773	1721
31	790	1679
32	805	1635
33	821	1594
34	836	1553
35	850	1512
36	867	1477
37	881	1438
38	902	1410
39	922	1383
40	938	1350
41	961	1327
42	976	1294
43	991	1262
44	1006	1230
45	1021	1199
46	1038	1170
47	1054	1142
48	1072	1116
49	1091	1091
50	1112	1069
51	1127	1040
52	1141	1012
53	1156	985
54	1171	958
55	1185	931
56	1199	905
57	1214	879
58	1232	856
59	1252	834
60	1269	811
61	1284	787
62	1299	763
63	1314	739
64	1339	721
65	1364	702
66	1378	679
67	1392	655
68	1406	631
69	1421	609
70	1438	587
71	1455	565
72	1472	544
73	1489	523
74	1504	501
75	1519	479
76	1535	458
77	1550	437
78	1565	416
79	1580	395
80	1593	373
81	1608	353
82	1623	332
83	1637	311
84	1652	291
85	1667	271
86	1681	251
87	1698	231
88	1716	212
89	1731	192
90	1747	172
91	1761	153
92	1776	133
93	1791	114
94	1806	95
95	1823	75
96	1840	56
97	1854	37
98	1869	18
99	1886	0
